0.216980	50.000000	0.000000
0.220032	50.792236	0.005051
0.201111	51.584473	0.010101
0.185776	52.376709	0.015152
0.113678	53.165588	0.020202
0.090790	53.951111	0.025253
0.077896	54.729919	0.030303
0.058212	55.508728	0.035354
0.034485	56.277466	0.040404
0.016098	57.042847	0.045455
-0.001526	57.801514	0.050505
-0.019226	58.550110	0.055556
-0.042191	59.291992	0.060606
-0.065384	60.023804	0.065657
-0.079193	60.745544	0.070707
-0.100174	61.457214	0.075758
-0.117798	62.155457	0.080808
-0.136414	62.840271	0.085859
-0.153732	63.515015	0.090909
-0.175705	64.176331	0.095960
-0.192184	64.824219	0.101010
-0.214157	65.455322	0.106061
-0.228882	66.069641	0.111111
-0.251007	66.670532	0.116162
-0.264740	67.251282	0.121212
-0.279007	67.818604	0.126262
-0.299911	68.365784	0.131313
-0.316620	68.892822	0.136363
-0.329056	69.403076	0.141414
-0.347900	69.893188	0.146464
-0.361633	70.363159	0.151515
-0.370712	70.812988	0.156565
-0.387344	71.242676	0.161616
-0.403290	71.652222	0.166667
-0.411072	72.034912	0.171717
-0.425339	72.400818	0.176768
-0.434341	72.739868	0.181818
-0.446091	73.058777	0.186869
-0.450821	73.354187	0.191919
-0.465851	73.626099	0.196970
-0.476761	73.871155	0.202020
-0.485916	74.096069	0.207071
-0.488815	74.294128	0.212121
-0.493927	74.468689	0.217172
-0.502396	74.619751	0.222222
-0.505600	74.743958	0.227273
-0.510635	74.844666	0.232323
-0.514984	74.921875	0.237374
-0.520782	74.972229	0.242424
-0.521164	74.995728	0.247475
-0.522232	74.995728	0.252525
-0.520096	74.972229	0.257576
-0.519562	74.921875	0.262626
-0.522537	74.844666	0.267677
-0.521622	74.743958	0.272727
-0.517349	74.619751	0.277778
-0.515900	74.468689	0.282828
-0.514145	74.294128	0.287879
-0.513077	74.096069	0.292929
-0.510483	73.871155	0.297980
-0.501938	73.626099	0.303030
-0.497284	73.354187	0.308081
-0.491714	73.058777	0.313131
-0.490875	72.739868	0.318182
-0.481339	72.400818	0.323232
-0.471039	72.034912	0.328283
-0.468597	71.652222	0.333333
-0.455170	71.242676	0.338384
-0.450974	70.812988	0.343434
-0.440063	70.363159	0.348485
-0.431290	69.893188	0.353535
